institution.displayName,searchData.tuition.rawValue,searchData.satAvg.rawValue
Princeton University,65210,1510
Massachusetts Institute of Technology,64730,1520
Harvard University,64796,1510
Stanford University,68544,1510
Yale University,69900,1470
University of Chicago,73266,1510
Duke University,73172,1500
Johns Hopkins University,67170,1520
Northwestern University,70589,1510
University of Pennsylvania,71236,1510
California Institute of Technology,68208,
Cornell University,72270,1500
Brown University,74550,1510
Dartmouth College,71265,1500
Columbia University,69045,1490
"University of California, Berkeley",55323,
Rice University,65475,1510
"University of California, Los Angeles",48674,
Vanderbilt University,71226,1500
Carnegie Mellon University,68096,1500
University of Michigan--Ann Arbor,66203,1360
University of Notre Dame,67607,1455
Washington University in St. Louis,69594,1500
Emory University,68056,1470
Georgetown University,71338,1390
University of North Carolina--Chapel Hill,45228,1390
University of Virginia,62923,1410
University of Southern California,75162,1450
University of California San Diego,54858,
University of Florida,30886,1320
The University of Texas--Austin,44908,1320
Georgia Institute of Technology,35092,1370
New York University,65622,1480
"University of California, Davis",50324,
"University of California, Irvine",49193,
Boston College,73508,1440
Tufts University,73616,1470
University of Illinois Urbana-Champaign,38398,1380
University of Wisconsin--Madison,44191,1350
"University of California, Santa Barbara",49885,
The Ohio State University,42423,1310
Boston University,71372,1420
Rutgers University--New Brunswick,39652,1310
"University of Maryland, College Park",41186,1390
University of Washington,44640,
Lehigh University,67920,1370
Northeastern University,69289,1440
Purdue University--Main Campus,28794,1200
University of Georgia,32336,1270
University of Rochester,70384,1410
